objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
616,611,book,E1," Wu, Ellen D.",The Color of Success: Asian Americans and the Origins of the Model Minority,2014,Princeton: Princeton University Press,,,," Asian American History Asian American Studies History
Politics",,,,English,,,,image/jpeg,,,
617,612,book,A3," Shaw, Gwendolyn Dubois",Seeing the Unspeakable: The Art of Kara Walker,2004,Durham: Duke University Press,,,,Artist monograph African American art Women artists,ISBN-10: 0822333961,ISBN-13: 9780822333968,,English,,"See #17 Kara Walker: Pictures from Another Time; #30 Kara Walker: A Black Hole is Everything a Star Longs to Be; #139 Kara Walker: Narratives of a Negress; #415 The Ecstasy of St. Kara: Kara Walker, New Work; #436 Kara Walker: Figa",,image/jpeg,,,
618,613,book,Kilolo's office," Lewis, Edna",The Taste of Country Cooking,1990,New York: Alfred A. Knopf,,,,"Cookbook
Cooking Food
African American History Originally published in 1976 by Alfred A. Knopf",ISBN-10: 0394732154,ISBN-13: 9780394732152,,English," https://www.southernliving.
com/culture/edna-lewis-at-table-with- american-original https://www.kinfolk.com/edna-lewis/","See # 615 In Pursuit of Flavor;
#615 The Gift of Southern Cooking",Online article,image/jpeg,,,
619,614,book,Kilolo's office," Lewis, Edna",In Pursuit of Flavor,1988,New York: Alfred A. Knopf,,,," Cookbook Food
African American History",ISBN-10: 0394542711,ISBN-13: 9780394542713,,English," https://www.southernliving. com/culture/edna-lewis-at-table-with- american-original
https://www.kinfolk.com/edna-lewis/",See #614 The Taste of Country Cooking; #616 The Gift of Southern Cooking,Online article,image/jpeg,,,
620,615,book,Kilolo's office," Lewis, Edna and Scott Peacock",The Gift of Southern Cooking: Recipes and Revelations from Two Great American Cooks,2003,New York: Alfred A. Knopf,,,," Cookbook Cooking Food
American South",ISBN-10: 0375400354,ISBN-13: 9780375400353,,English,https://www.southernliving. com/culture/edna-lewis-at-table-with- american-original https://www.kinfolk.com/edna-lewis/,See #614 The Taste of Country Cooking; #615 The Pursuit of Flavor,Online article,image/jpeg,,,
621,616,book,A3," Malinowski, Patricia A.",Mel Bochner: 1973-1985,1985,Pittsburgh: Carnegie Mellon University Press,,,," Exhibition catalogue Artist monograph Painting
Conceptual art Pittsburgh
Donated by Kary Arimoto-Mercer
and Rick Mercer",ISBN-10: 0887480152,ISBN-13: 9780887480157,,English,http://www.melbochner.net/,,Artist website,image/jpeg,,,
622,617,book,Kilolo's office," Luckett, Kilolo, ed.",Stephen Towns: Declaration & Resistance,2023," Greensburg: Westmoreland Museum
of American Art",,,," Exhibition catalogue
Artist monograph Painting
Quilting
Signed by the author",,ISBN-13: 9780931241000,,English," https://thewestmoreland.
org/exhibitions/stephen-towns- declaration-resistance/ https://reynolda. org/museum/exhibitions/stephen- towns-declaration-resistance/","See #514 Stephen Towns: A Path
Between Two Continents",Exhibition website,image/jpeg,,,
623,618,book,Kilolo's office," Kaplan, Brett Ashley, ed.",Critical Memory Studies: New Approaches,2023,London: Bloomsbury Academic,,,," Memory Memory Studies Literary Studies
Edited volume",ISBN-10: 1350230111,ISBN-13: 9781350230118,,English,,,,image/jpeg,,,
624,619,book,Kilolo's office," Kim, Chul R., ed.",American Struggle: Teens Respond to Jacob Lawrence,2020,Chambersburg: Six Foot Press,,,," Exhibition publication African American art history Painting
Teenagers",ISBN-10: 164442021X,ISBN-13: 9781644420218,,English,https://www.pem.org/jacob-lawrence- the-american-struggle-panels https://www.metmuseum. org/exhibitions/listings/2020/jacob- lawrence-american-struggle https://www.phillipscollection. org/event/2021-06-25-jacob-lawrence- american-struggle,See #543 Jacob Lawrence: American Painter,Exhibition website,image/jpeg,,,
625,620,book,Kilolo's office," Woodward, Richard B.; Ash Duhrkoop; Ndubuisi Ezeluomba; Sheila Payaqui;  Ainslie Harrison; Casey Mallinckrodt; Kathryn
Brugioni Gabrielli",The Arts of Africa: Studying and Conserving the Collection,2020,Richmond: Virginia Museum of Fine Arts; New Haven: Yale University Press,,,," African art Museums Conservation
Virginia Museum of Fine Arts",ISBN-10: 0300250924,ISBN-13: 9780300250923,,English,https://vmfa. museum/collections/african-art/,,Museum collection website,image/jpeg,,,
626,621,book,Kilolo's office," Carter, Ruth E."," The Art of Ruth E. Carter: Costuming Black History and the Afrofuture, from Do the Right Thing to Black Panther",2023,San Francisco: Chronicle Books,,,," Artist monograph Women artists Costume design
Film",ISBN-10: 1797203061,ISBN-13: 9781797203065,,English," https://americanfilmshowcase.com/afs- films/abstract/ https://www.youtube.com/watch?
v=sLnFxo_RbGs",,Docuseries website Video,image/jpeg,,,
627,622,book,Kilolo's office," Oliver, Valerie Cassel"," The Dirty South: Contemporary Art, Material Culture, and the Sonic Impulse",2021,Richmond: Virginia Museum of Fine Arts,,,," Exhibition catalogue
African American art history Southern culture",ISBN-10: 1934351199,ISBN-13: 9781934351192,,Englsih,https://vmfa. museum/exhibitions/exhibitions/dirty- south-contemporary-art-material- culture-sonic-impulse/,,Exhibition website,image/jpeg,,,
628,623,book,Kilolo's office," Boganey, Kim",Beverly McIver: An Introspective Retrospective,,Raleigh: Contemporary Art Musuem Raleigh,,,,,,,,,,,,image/jpeg,,,
629,624,book,Kilolo's office," Seigensha; WADA, Sanzo","A Dictionary of Color Combinations, Vol. 1",2011," Kyoto: Seigensha Art Publishing, Inc.",,,,"Dictionary Reference books Design
Original 6-volume color studies (Haishoku Soukan) by WADA, Sanzo [Japanese surname appears first] published during the 1930s",ISBN-10: 4861522471,ISBN-13: 9784861522475,,Japanese,https://en.seigensha.com/books/978-4- 86152-247-5/,"See #625 A Dictionary of Color Combinations, vol. 2",Publisher's website,image/jpeg,,,
630,625,book,Kilolo's office," Seigensha; WADA, Sanzo","A Dictionary of Color Combinations, Vol. 2",2020," Kyoto: Seigensha Art Publishing, Inc.",,,,"Dictionary Reference books Design
Original 6-volume color studies (Haishoku Soukan) by WADA, Sanzo [Japanese surname appears first]
published during the 1930s",ISBN-10: 4861527724,ISBN-13: 9784861527722,,Japanese; English,https://en.seigensha.com/books/978-4- 86152-772-2/,"See #624 A Dictionary of Color Combinations, vol. 1",Publisher website,image/jpeg,,,
631,626,book,Kilolo's office," Gilman, Claire; Isabella Kapur; and Anneka Lenssen",Drawing Papers 153 A Greater Beauty: The Drawings of Kahlil Gibran,2023,New York: The Drawing Center,,,," Exhibition catalogue Drawings
Literature",,ISBN-13: 9798987600924,,English,"https://drawingcenter.org/exhibitions/a- greater-beauty-kahlil-gibran https://www.kahlilgibran. com/images/The%20Prophet% 20Ebook%20by%20Kahlil%20Gibran.pdf
https://gibransprophetmovie.com/",," Museum website PDF book
Film",image/jpeg,,,
632,627,book,Kilolo's office," Gilman, Claire with poems by Anaïs Duplan",Drawing Papers 154 Naudline Pierre: This Is Not All There Is,2023,New York: The Drawing Center,,,," Exhibition catalogue Drawings
Women artists",,ISBN-13: 9798987600931,,English," https://www.naudline.com/ https://www.instagram.com/cluvie/? hl=en
https://drawingcenter. org/exhibitions/naudline-pierre-this-is- not-all-there-is",," Artist website
Artist Instagram page Museum website",image/jpeg,,,
633,628,book,Kilolo's office," Candy, Kimberly",Pittsburgh and the Great Migration : Black Mobility and the Automobile,2023,Pittsburgh: The Frick Pittsburgh ; Charleston: The History Press,,,," Exhibition publication Pittsburgh
African American history Great Migration
Cars
Design",ISBN-10: 1467153141,ISBN-13: 9781467153140,,English,https://www.thefrickpittsburgh. org/Exhibition-Pittsburgh-And-The- Great-Migration,,Museum website,image/jpeg,,,
634,629,book,Kilolo's office," Simply, Jay and Sydney Ellision, eds.",The Photographer's Green Book Vol. 1,2021,Location unidentified: Photographers Green Book LLC,,,," Photography Media
Artist interviews",ISBN-10: 0578996618,ISBN-13: 9780578996615,,English," https://www.photogreenbook.com/ https://www.instagram. com/photogreenbook/ https://digitalcollections.nypl. org/collections/the-green-book#/?
tab=about",,Resource website Instagram page Schomburg Center website,image/jpeg,,,
635,630,book,Kilolo's office," Hughes, Holly, ed.",Best Food Writing 2016,2016,Boston: Da Capo Lifelong Books,,,," Anthology
Essays
Food writing
Cooking",ISBN-10: 0738219444,ISBN-13: 9780738219448,,English,,,,image/jpeg,,,
636,631,book,Kilolo's office," Livesay, Harold C.",Andrew Carnegie and the Rise of Big Business,1975," Boston: Little, Brown and Company",,,," Pittsburgh
Steel Industry
History",ISBN-10: 0316528706,ISBN-13: 9780316528702,,English,,,,image/jpeg,,,
637,632,book,Kilolo's office," Ewing, Adam",The Age of Garvey: How a Jamaican Activist Created a Mass Movement and Changed Global Black Politics,2014,Princeton: Princeton University Press,,,," History
African Diaspora
Pan-Africanism
Politics",ISBN-10: 0691173834,ISBN-13: 9780691173832,,English,,,,image/jpeg,,,
638,633,book,Kilolo's office," Barrayn, Laylah Amatullah",We Are Present: 2020 in Portraits,2022,New York: Magnum Foundation,,,," Photography
Photobook Portraits Women artists
Limited edition book",,ISBN-13: 9798218022716,,English," https://laylahbarrayn.format.com/
https://www.wearepresentbook.com/",,,image/jpeg,,,
639,634,book,Kilolo's office," Silvera, Makeda, ed",Piece of My Heart: A Lesbian of Colour Anthology,1991,Toronto: Sister Vision Press,,,," Anthology
Essays
Poetry
Women artists
Gender and sexuality
Queerness",ISBN-10: 0920813658,ISBN-13: 9780920813652,,English,,,,image/jpeg,,,
640,635,book,Kilolo's office," Leers, Dan",An-My Lê: On Contested Terrain,2020," Pittsburgh: Carnegie Museum of Art;
New York: Aperture",,,," Pittsburgh
Exhibition catalogue
Photography
Women artists",ISBN-10: 0880390700,ISBN-13: 9780880390705,,English," https://carnegieart.org/exhibition/an-my-le/

https://mam.org/exhibitions/details/an-my-le.php

https://www.cartermuseum.org/exhibitions/an-my-le-contested-terrain",,Exhibition website,image/jpeg,,,
641,636,book,Kilolo's office," Mohebbi, Sohrab; Ryan Inouye and Talia Heiman",Is it morning for you yet? 58th Carnegie International,2022,Pittsburgh: Carnegie Museum of Art,,,," Pittsburgh
Exhibition catalogue
Contemporary art
Carnegie International",,ISBN-13: 9780880390712,,English,https://carnegieart.org/international/2022-carnegie-international/,See #637 Is it morning for you yet? 58th Carnegie International [exhibition guide],Exhibition website,image/jpeg,,,
642,637,book,Kilolo's office," Mohebbi, Sohrab; Ryan Inouye and Talia Heiman",Is it morning for you yet? 58th Carnegie International [Exhibition Guide],2022,Pittsburgh: Carnegie Museum of Art,,,," Pittsburgh
Exhibition guide
Contemporary art
Carnegie International",ISBN-10: 1524761737,ISBN-13: 9781524761738,,English,,See #636 Is it morning for you yet? 58th Carnegie International [exhibition catalogue],Exhibition website,image/jpeg,,,
643,638,book,Kilolo's office," Tipton-Martin, Toni",Jubilee: Recipes from Two Centuries of African American Cooking: A Cookbook,2019,New York: Clarkson Potter/Publishers,,,," African American history
Cookbook
Cooking
Food",ISBN-10: 1524761737,ISBN-13: 9781524761738,,English,https://tonitiptonmartin.com/,See #336 The Jemima Code: Two Centuries of African American Cookbooks,Author website,image/jpeg,,,
644,639,book,Kilolo's office,Chicago Department of Cultural Affairs,The Chicago Public Art Guide,2004," Chicago: Department of Cultural Affairs, City of Chicago",,,," Chicago
Public art
Sculpture
Donated by Kary Arimoto-Mercer and Rick Mercer",,,OCLC: 62149807,English,"https://www.chicago.gov/city/en/depts/dca/provdrs/public_art_program.html
https://www.chicago.gov/content/dam/city/depts/dca/Public%20Art/publicartguide1.pdf",,City of Chicago website PDF 2007 edition of public art guide,image/jpeg,,,
645,640,book,Kilolo's office," Di San Lazzaro, Gualtieri; translated by Stuart Hood",Klee: A Study of His Life and Work,1957," New York: Frederick A. Praeger, Publishers",,,," Modern art
Artist monograph
Biography
Handwritten note on paper in marker: ""hints of Klee's possible
North African heritage""
Donated by Kary Arimoto-Mercer and Rick Mercer",,,OCLC: 466417,English (original text in Italian),https://www.metmuseum.org/toah/hd/klee/hd_klee.htm,,Museum website,image/jpeg,,,
646,641,book,Kilolo's office," Stanton, Frank","Great Issues Lecture: Mass Media and Mass Culture at The Hopkins Center, Dartmouth College, November 26, 1962",1963,New York: Columbia Broadcasting System,,,,"Lectures
Mass media
Handwritten note on paper in marker: ""see p.40 - photo Richard Hunt w/ Hero Construction (1958); first African American to have a MoMA retrospective
Donated by Kary Arimoto-Mercer and Rick Mercer",,,OCLC: 216997566,English,https://archive.dartmouthalumnimagazine.com/article/1947/10/1/the-great-issues-course,"See #480 Among Others:
Blackness at MoMA",Magazine article,image/jpeg,,,
647,642,book,Kilolo's office," Toker, Franklin",Pittsburgh: A New Portrait,2009,Pittsburgh: University of Pittsburgh Press,,,," Pittsburgh
Architecture
Architectural history
Donated by Kary Arimoto-Mercer and Rick Mercer",ISBN-10: 0822943719,ISBN-13: 9780822943716,,English,,,,image/jpeg,,,
648,643,book,Kilolo's office," Zweite, Armin; translated by John Ormrod"," The Blue Rider in the Lenbachhaus, Munich:
Masterpieces by Franz Marc, Vassily
Kandinsky, Gabriele Munter, Alexei Jawlensky,
August Macke, Paul Klee",1989,Munich: Prestel,,,," Modern art
German Expressionism
Donated by Kary Arimoto-Mercer and Rick Mercer",ISBN-10: 3791308505,ISBN-13: 9783791308500,,English,https://www.lenbachhaus.de/en/visit/exhibitions/details/the-blue-rider,"See #640 Klee: A Study of His Life
and Work",Museum website,image/jpeg,,,
649,644,book,Kilolo's office," Tucker, Marcia",Mary Kelly: Interim,1990,New York: New Museum of Contemporary Art,,,," Exhibition catalogue
Artist monograph Women artists
Donated by Kary Arimoto-Mercer and Rick Mercer",ISBN-10: 0915557673,ISBN-13: 9780915557677,,English,"https://www.marykellyartist.
com/interim-1984-89 https://archive.newmuseum. org/exhibitions/192",," Artist website
Museum website",image/jpeg,,,
650,645,book,Kilolo's office," Lipponcott, Louise and Andreas Blühm","Fierce Friends: Artists and Animals, 1750-1900",2005,London; New York: Merrell; Pittsburgh: Carnegie Museum of Art; Amsterdam: Van Gogh Museum,,,," Exhibition catalogue Carnegie Museum of Art Animals in art
Donated by Kary Arimoto-Mercer and Rick Mercer",ISBN-10: 0880390468,ISBN-13: 9780880390460,,English,https://carnegiemuseums.org/magazine- archive/2006/spring/feature1.html,,Magazine article,image/jpeg,,,
651,646,book,Kilolo's office," Lipponcott, Louise"," Panopticon: An Art spectacular: Carnegie Museum of Art Presents a Grand Display: Paintings, Sculpture, Decorative Arts, Prints, Drawings & Photographs from Pittsburgh, the United States and the Rest of the World
[Gallery Guide]",2002,Pittsburgh: Carnegie Museum of Art,,,," Pittsburgh
Carnegie Museum of Art Exhibition guide",,,OCLC: 51835323,English,https://carnegiemuseums.org/magazine- archive/2002/sepoct/feat3.htm,,Magazine article,image/jpeg,,,
652,647,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 1 Plant Portraits, Artists
A-D",1985," Pittsburgh: Hunt Institute for Botanical ""Documentation, Carnegie Mellon
University""",,,," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,"https://www.huntbotanical.org/databases/?1

https://www.almalewis.org/artist/njena- surae-jarvis/","See #647-#655, Catalogue of the ""Botantical Art Collection at the Hunt Insitute, Vols 1-9"""," Database
Alma Lewis website",image/jpeg,,,
653,648,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 1 Plant Portraits, Artists A-D",1987," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",,,," Reference
Pittsburgh Botany
Botanical illustration
G iven by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,"https://www.huntbotanical.org/databases/?1

https://www.almalewis.org/artist/njena- surae-jarvis/","See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
654,649,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 3 Plant Portraits, Artists H",1988," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",,,," Reference
Pittsburgh Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/,"See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
655,650,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 4 Plant Portraits, Artists I-0",1991," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon
University",,,," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 978091319642,,English,"https://www.huntbotanical.org/databases/?1
https://www.almalewis.org/artist/njena- surae-jarvis/","See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
656,651,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 5 Plant Portraits, Artists P-S",1994," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",,,," Reference
Pittsburgh Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/,"See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
657,652,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 6 Plant Portraits, Artists T-Z and Unknown",1995," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon
University",,,," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,"https://www.huntbotanical.org/databases/?1
https://www.almalewis.org/artist/njena- surae-jarvis/","See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
658,653,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 7 Decorative, Horticultural and Non-Botanical Subjects, Supplement to Parts 1-6, Plant Portraits",1998," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",,,," Reference
Pittsburgh Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/,"See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
659,654,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 8 Index by Higher Taxa
to Parts 1-6 and Supplement, Plant Portraits",1998," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon
University",,,," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident; Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,"https://www.huntbotanical.org/databases/?1
https://www.almalewis.org/artist/njena- surae-jarvis/","See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
660,655,book,Kilolo's office," White, James J. and Elizabeth R. Smith","Catalogue of the Botantical Art Collection at the Hunt Insitute: Part 9 Index by Genera to Parts 1-6 and Supplment, Plant Portraits",1998," Pittsburgh: Hunt Institute for Botanical Documentation, Carnegie Mellon University",,,," Reference
Pittsburgh
Botany
Botanical illustration
Given by Kary Arimoto-Mercer and Rick Mercer to Njena Surae Jarvis, Alma Lewis artist-in-resident;
Donated by Njena Surae Jarvis",ISBN-10: 0913196428,ISBN-13: 9780913196427,,English,https://www.huntbotanical.org/databases/?1 https://www.almalewis.org/artist/njena- surae-jarvis/,"See #647-#655, Catalogue of the Botantical Art Collection at the Hunt Insitute, Vols 1-9"," Database
Alma Lewis website",image/jpeg,,,
661,656,book,D2,Blain N. Keisha,Set the World on Fire: Black Nationalist Women and the Global Struggle for Freedom,2019,Philadelphia: University of Pennsylvania Press,,,," African American history
Gender studies
Black women's history Politics
Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0812224590,ISBN-13: 9780812224597,,English," https://www.almalewis.org/exhibition/abdul-aziz-reclaiming-
echoess/ http://keishablain.com/",," Alma Lewis website
Author website",image/jpeg,,,
662,657,book,D2," Delgado, James P.; Deborah E. Marx; Kyle Lent; Joseph Grinnan; and Alexander DeCaro",Clotilda: The History and Archaeology of the Last Slave Ship,2023,Tuscaloosa: University of Alabama Press,,,," African Diaspora
Archaeology
Maritime history
Transatlantic slavery
Included in Alma Lewis exhib.
""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0817321519,ISBN-13: 9780817321512,,English," https://nmaahc.si.edu/explore/stories/clotilda-has-been-found
https://www.almalewis. org/exhibition/abdul-aziz-reclaiming-echoess/",," Museum website
Alma Lewis website",image/jpeg,,,
663,658,book,D2," Robertson, Natalie S."," The Slave Ship Clotilda and the Making of AfricaTown, USA: Spirit of Our Ancestors",2008,Westport: Praeger,,,," African Diaspora Maritime history Transatlantic slavery
Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0275994910,ISBN-13: 9780275994914,,English," https://nmaahc.si.edu/explore/stories/clotilda-has-been- found
https://www.almalewis. org/exhibition/abdul-aziz-reclaiming- echoess/",," Museum website
Alma Lewis website",image/jpeg,,,
664,659,book,D1," Lincoln, C. Eric and Lawrence H. Mamiya",The Black Church in the African American Experience,1990,Durham: Duke University Press,,,," African American history Black Studies
Sociology Religion
Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0822310732,ISBN-13: 9780822310730,,English,https://archives.nypl. org/scm/21071#overview https://www.almalewis. org/exhibition/abdul-aziz-reclaiming- echoess/,,Archival collection,image/jpeg,,,
665,660,book,Kilolo's office," Cunningham, Stephen Kittredge",The Bartender's Black Book 7th Edition,2004,"7th ed. Brockton: The Bartender's Black Book Co., Inc.",,,,Handbook Manual Food Cocktails,ISBN-10: 0965774643,ISBN-13: 9780965774642,,English,,,,image/jpeg,,,
666,661,book,Kilolo's office," Serano, Julia",Excluded: Making Feminist and Queer Movements More Inclusive,2013,New York: Seal Press,,,," Women's Studies Gender Studies Queer Studies Feminism
Politics
Donated by Kary Arimoto-Mercer and Rick Mercer",ISBN-10: 1580055044,ISBN-13: 9781580055048,,English,https://www.juliaserano.com/,,Author website,image/jpeg,,,
667,662,book,Kilolo's office," Centeno, Israel",Exilio en Bowery,2021,New York: Sudaquia Editores,,,," Literature Migration Exile
Donated by Camila Centeno Bonet's father, Israel Centeno
Signed by the author",ISBN-10: 1944407723,ISBN-13: 9781944407728,,Spanish,https://sudaquia.net/product/exilio-en- bowery-es/,,Publisher website,image/jpeg,,,
668,663,book,Kilolo's office," Centeno, Israel",Escrito con Acento (Written with an Accent),2020,Caracas: Editorial Lector Cómplice,,,," Literature Essays
Donated by Camila Centeno Bonet's father, Israel Centeno
Signed by the author",,ISBN-13: 9789804290190,,English (translated from Spanish),,,,image/jpeg,,,
669,664,book,Kilolo's office," Centeno, Israel",Jinete a pie,2015,2nd ed. Caracas: Editorial Lector Cómplice,,,," Literature Fiction
Donated by Camila Centeno Bonet's father, Israel Centeno
Signed by the author",ISBN-IBSN-10: 9789807477314,,,Spanish,,,,image/jpeg,,,
670,665,book,Kilolo's office," Goldberg, Natalie"," Writing Down the Bones: Freeing the Writer
Within",1998,Boston; London: Shambhala,,,," Essays
Writing",ISBN-10: 1570624240,ISBN-13: 9781570624247,,English,,,,image/jpeg,,,
671,666,book,Kilolo's office," Stearns, Marshall",The Story of Jazz,1958,New York: New American Library,,,,"African American history
Jazz Music
Originally published in 1956 by Oxford University Press",,,OCLC: 2195604,English,,,,image/jpeg,,,
672,667,book,Kilolo's office," Korankye, Charles M.",Adinkra Alphabet: The Adinkra Symbols As Alphabets & Their Hidden Meanings,2017,3rd ed. No location identified: Adinkra Alphabet LLC.,,,,Reference Dictionary Symbols African culture,ISBN-10: 0996523391,ISBN-13: 9780996523394,,English,,See #38 The Adinkra Dictionary: A Visual Primer on the Language of Adinkra,,image/jpeg,,,
673,668,book,Kilolo's office," Amussen, Jasmine, ed.",Where I'm Calling From,2022,Atlanta: Burnaway,,,,Anthology Essays,ISBN-10: 1736101218,ISBN-13: 9781736101216,,English,https://burnaway.org/the-reader/,,Publisher website,image/jpeg,,,
674,669,book,Kilolo's office," Kee, Joan",The Geometries of Afro Asia: Art beyond Solidarity,2023,Oakland: University of California Press,,,,Art History Contemporary art African Diaspora Asian art,ISBN-10: 0520392450,ISBN-13: 9780520392458,,English,,,,image/jpeg,,,
675,670,book,Kilolo's office," Davis, John; Suzannah Fabing; and Barbara Polowy",Image and Word: Art and Art History at Smith,2003,Northampton: Smith College,,,," Art History Higher education Women artists Museums
Architecture",ISBN-10: 0873910524,ISBN-13: 9780873910521,,English,https://www.smith.edu/bfac/ https://scma.smith.edu/,,College website Museum website,image/jpeg,,,
676,671,book,Kilolo's office," Pemberton, John, III",African Beaded Art: Power and Adornment,2008,Northampton: Smith College Museum of Art,,,,African art Exhibition catalogue Decorative arts,ISBN-10: 0873910583,ISBN-13: 9780873910583,,English,,,,image/jpeg,,,
677,672,book,Kilolo's office," Ossei-Mensah, Larry",Ontology,2022,New York; East Hampton: R+K Gallery,,,,"Exhibition catalogue Contemporary art
Features Alma Lewis artist-in- residence Yaw Owusu
Signed by Yaw Owusu
edition 73/200",,ISBN-13: 9798987502105,,English,https://rkgallery. com/exhibition/ontology https://www.almalewis.org/artist/yaw- owusu/,,Gallery website Alma Lewis website,image/jpeg,,,
678,673,book,Kilolo's office," Diouf, Sylviane A.",Dreams of Africa in Alabama: The Slave Ship Clotilda and the Story of the Last Africans Brought to America,2009,Oxford: Oxford University Press,,,," African American history African Diaspora Transatlantic slavery
Alabama",ISBN-10: 0195382935,ISBN-13: 9780195382938,,English,https://www.sylvianediouf.com/,,Author website,image/jpeg,,,
679,1,journal,E1," Lipman, Jean, ed.", Art in America,," Art in America Co., Inc.","Vol. 56, No. 5",,, Periodical,,,, English, https://www.artnews.com/c/art-in-america/,, Periodical website,image/jpeg,,,
680,2,journal,E1," Lipman, Jean, ed.", Art in America,," Art in America Co., Inc.","Vol. 56, No. 6",,, Periodical,,,, English, https://www.artnews.com/c/art-in- america/,, Periodical website,image/jpeg,,,
